topic,post,context
301266,5,反正拉练下雨，几点都一样
297884,27,去年搬宿舍的时候欠了一百多一直没断电，后来忘记什么时候被修复了
301219,75,合影
301219,15,"限时返场,洗衣机能洗,吗,能,不能,洗衣机能洗,吗,能,不能,洗衣机能洗脚皮吗,能,不能,洗衣机能洗人吗,能,不能,洗衣机能修路吗,能,不能,洗衣机能洗交大金课吗,能,不能,洗衣机能洗衣服吗,能,不能"
301219,7,随着新小登的到来，洗衣机老将终于焕发第n春了
155786,7261,好大两个西瓜
301164,37,"辅导辅导,excel,辅导辅导,powerpoint"
301171,10,洗飞机杯的都有了，洗鞋还会远吗
301164,8,"，启动！,性别女,爱好男,年龄,岁,上海人,包邮区,可爱型,身高<170,bmi正常,情绪稳定，不过可以小作一点,喜欢我,会稍微欺负欺负我，两个人平常相处就像唱相声一样一唱一和的那种,会说上海话,这么优秀都没对象，突然不觉得我,了"
300480,38,"新年的时候连续被举办好几次导致丢了活跃用户,，过了好久才回来"
281312,187,"陆陆续续把生产环境搬到了wsl上，结果现在MacBook+win主机+wsl三系统大混战,，本着简洁至上的原则，一直很想干掉其中的windows。,目前感觉最大的阻力就是打游戏（原铁）、iCloud钥匙串与文件同步以及偶尔用到的冷门小工具。so请教一下大佬们有没有什么解决方案,以及n卡会不会有一些奇怪的bug（13400f+4060+4k屏）,so fuck u nvidia"
240593,19,"取决于用途,放视频或者浏览器肯定没问题，游戏具体搜一搜看吧。举个自己的例子，4060带星铁4k60画质可以基本全高,只看桌面核显都能带"
300579,3,"交我办 - 学生亲友进校备案,或者假装是网约车"
300484,14,"联合创新27C1U-D，27' 4k60，才1k出头,这个价位只能说有问题都是我的问题"
300233,82,藤椒老师好有经验
300416,6,在二餐办的联通卡，年费390送一年哈啰会员，感觉还挺划算的，前几天刚续费
155786,7247,重新拿镜流打了一遍，极限烧血过关
300420,5,"被中午一点上课狠狠调教了,以及没有早八之后日常晚睡晚起，中午就不怎么困了"
155786,7243,"上次打砂金就发现镜流被防了一手,一看冰弱点直接掏出1+1镜流，结果被砂金摇骰子乱轴，打了很多无效输出，而且阮梅和鸭都没有群攻，二阶段默认疯狂挨打，还需要一个解控生存位,真要玩镜流得卡轴，在摇骰子的时候进nb状态，白嫖一个大招续转魄"
155786,7241,goshit砂金怎么又返场了
300042,19,"沙东人,有用的：,自己找好老师一对一,高一的一年数竞经历，虽然是半吊子，但对高考还挺有用的,自己买题做,没用的：,晚自习假装整理作文素材，在教室电脑上刷知乎,上某些课（上高三的时候翘了一大半的课去自习）,感觉我的高三属于半摆半卷的类型，好像也花了很多时间精力，但和县中同学完全没法比"
155786,7230,"上半飞霄 黑天鹅 卡芙卡 知更鸟,下半灵砂 托帕"
292870,19,置业广场路口现在有交警，刚路过看到交警从警车上下来
299304,5,"头发太倔，下一个,给小朋友的前情提要"
298636,91,"手大不怕,，除了打字慢一点一直都是单手"
299176,7,第一眼还以为又阳了
147069,2974,让她自己选你给报销绝对不会错
299091,55,"花了两年，每一个角落都去过,为什么是两年？因为中间有一年不存在"
298636,80,"感觉16pro新的金色不好看，这是可以说的吗,之前不是爆料复刻玫瑰金吗，好喜欢6s的玫瑰金！,btw我第一部手机就是玫瑰金的6s plus"
298812,39,"是的,MacBook的触控板也是用tapic engine模拟的震动，Mac死机或者关机的时候按一下就会发现没反应"
298636,64,"大概不会,首先苹果侧载必须是欧版+欧盟ID+肉身欧盟，基本只有物理欧洲人能用，国内不用担心,至于欧盟区域，其实限制也很严格,而且看看国外主流软件多干净就知道大概不会。安卓也开放侧载，但并没有国内安卓那么乱,只有byd国产软件喜欢往手机里拉"
298684,36,"小科永远忘不了亲爱的山东卷,，有一次模考地理从54给我赋到90,这张图收藏三年了"
298636,59,iPhone 这么大搞影像，什么时候解决鬼影
298636,50,"Mac盲猜就是把原来8GB的选项扣掉，参考15Pro的售价,iPhone 16 大概率还是原价"
298636,44,"看爆料感觉除了 iPhone 16 都没啥看点, Watch X：升级45mm&49mm，预计续航会长，增加测血压和睡眠呼吸暂停功能，以及升级了扬声器（谁会用手表外放啊）, Watch Ultra 3：大概率就是换SOC跟颜色（Mac同款深空黑）,AirPods 4：半入耳式 AirPods Pro 1 代，支持主动降噪，估计不会有自适应降噪和头部动作,iPad mini 7：预计就是换 SOC 从而支持 AI，还不知道九月还是十月发"
298636,41,"藤椒老师注意markdown语法，,需要转义成"
298636,38,但是不充满不是相当于出厂就砍掉那一部分容量
298636,32,只充到80%和电池健康80%有什么区别
298636,19,感觉超过一年的预测每次除了SOC就没多少对的，要么就是全蒙一遍
298636,7,"预计新品有 iPhone、AirPods 、Apple Watch，都和教育优惠没关系,Mac 一般都在10月第二场，上半年刚发过新 iPad Pro / Air，下半年估计只有mini 7和智商检测器的标准款iPad 11，不知道会选择在哪一场发布"
298636,1,"苹果2024年秋季新品发布会定档,今年前几场都阳间时间，怎么这次又凌晨"
85079,9291,旅行者在无法共鸣火元素力后实力大增，终于想起来自己还有净化深渊这个能力
85079,9277,最爱的取名环节
297760,53,"校园卡干脆扣掉芯片改成学生证得了，除了刷宿舍和小组自习室哪都去不了，哪有,随随便便拿捏学生方便"
9478,9525,原来和平分手才是最痛的
9478,9524,"正式分手了，一晚上断断续续说了好多，希望我们都能有属于自己的未来,去买两瓶酒喝"
297348,31,iPhone 15 Pro Max 长 16cm，别问我怎么知道
297394,29,"分享解解的一首歌给lz，每次坚持不住的时候都会单曲循环,天空没有极限 我的未来无边,破茧的我会飞向更蔚蓝的明天,前方路若遥远 回头看看从前,看看镜子里的你带着曾经的我,已走了多远,相信lz一定可以的！"
297394,26,"关于家里的压力，其实我和lz也有点像。每天看着我爸的压力——既要和我姑一起照顾我爷爷奶奶，尤其我爷爷已经到了阿尔兹海默症晚期，需要他一直撑着；又要上班工作进职称；还要供我上学；受我妈的气等等。,但现在这个阶段，也没法真的做到什么，还是尽量做好自己的事，稍稍分担一点吧，平时多关心关心他，虽然他不说，但肯定很希望收到来自子女的关心,lz有规划已经是伟大胜利了！一年的时间很长，足够一一完成的！"
297394,22,"建议lz真的想清楚到底为什么渴望感情，是为了找到一个家庭的补位/情感的支撑，填补心里的空缺，还是期待荷尔蒙的作用，灵魂的共鸣,如果是后者，那不如想想曾经在一起的那些快乐的日子，爱情是一段旅程而不是结果，大哭一场然后走向自己的明天吧,如果是前者，也许你真的该留给自己一段时间，想清楚自己想得到什么。至少我一直认为，要先成为完全的自己，然后再拥抱爱情，这才是两个活生生的人在一起，而不是一种病态的、不对等的感情"
297394,9,源u愿意，可以说给源u听
297372,4,"正常用最多能撑一天半，其实就是一天一充,我都是晚上十点多回宿舍充上，睡觉前肯定能充满戴上"
297372,2,"大概2k上下，新机百亿补贴最低能干到2.3k,lz要是早三个月出我就拿下了，刚换了同款，颜色都一样"
297348,25,"跑个题（,打算等 iPhone 18,不开玩笑版：等苹果什么时候改掉四个老大难（发热、信号、续航、充电），或者有重大更新（类似AI 只支持15pro这种）我再考虑换"
297348,13,"AirPods Pro 从起床一直戴到没电，可能是我从小戴入耳式耳机习惯了不觉得不舒服,tws随身携带真的很方便，二代降噪也很能打，我觉得完全够用，只要考虑舒适性就可以,btw藤椒老师是住在水源上吗，感觉每个帖子都能看到"
297300,37,"月初回学校之前一晚恰好和我爸谈了这个问题，他给的理由真的就是可以理解，但非常匪夷所思的程度，全被我怼回去了,结婚生子是中华民族的传统美德,我反问他，那为什么现在生育率这么崩，还有不少二胎三胎的水分；就算不考虑宏观叙事，如果中国人就是要结婚生子的话，那我也不介意不当中国人,然后他又搬出经典的有孩子有个盼头，并举例说他和我妈等长辈都是这样的,我请问呢，没钱有什么盼头，为了间房把一辈子牢牢套住根本不叫有盼头，叫窒息,他反问我，万一找个有钱的呢，这都不是关键问题,我听到这直接问号，什么样马还配什么样鞍呢，指望当凤凰男还不如指望刮彩票暴富,他又说反正还有他和我妈帮忙攒首付&看孩子，认为我交大的水平就不用考虑钱,我说你都累了一辈子，眼瞅着快退了，钱也攒着，时间也留着自己养老多好，就现在这工作强度，别管是为我还是为他自己都是更优的选择吧,然后他沉默了一会转移话题了,最好笑的是，在这之前刚说到他有个同事，把他父母从青岛养老院接到我家小县城养老院，就是因为出不起大城市的钱，接着被我用这个例子噎回去，你要是为我好，那就攒着钱给自己养老,以前也和我妈提起过这个问题，她就是发动她一贯的pua本领,她只想让我幸福，不结婚没孩子最后肯定过的不幸福,有孩子才不幸，这种高投入高风险周期长的投资傻子才入（没好意思撕破脸的是，她和,才是我几乎所有不幸福的原因）,“养儿防老”，到老了没人照顾,社会上反例早就比比皆是了，再说我总不能什么好事都占了，到老受罪也是我活该，况且跟有可能的事我七八十了还得打工替他攒钱买房,（同样没好意思打她脸：我一直坚持要是养孩子就为了养老的话，就压根不配生孩子）,身边统计学：她周围的人都后悔没多生，开放之后都在要二胎三胎，我到时候也得后悔,说真的，统计学规律不适用于个体这种道理，还真没法让她理解，只能说走着瞧,大龄不结婚肯定有问题（指性取向）,（这点还真被她说中了，但对我来说这两件事压根没关联，就算我异性恋也不要孩子）,和我爸沟通还能讲讲道理，和她沟通就能总结为一句话：你走着瞧,一个人的凌晨时分，谁没有个思念的人"
297300,21,"确实是病，但显然不是我的，而是社会的,有时候觉得我父母完全就是被封建礼教束缚的那一类人，明明自己的婚姻经营的还不如离了束缚，还一股劲催我找对象，真不知道他俩哪来的劲"
297185,14,"公众号  影视后期系统教学,btw mac版激活有够费劲的，我的lrc补丁过期了，现在全靠小火箭ban掉adobe服务才能打开,但ps打开还是需要这个服务，所以每次开lrc就开梯子，开ps就关梯子,Adobe真的很狗屎，至今不明白为什么lrc能全屏，ps不能"
296963,23,"军训的时候宿舍还是早早熄灯睡觉,现在全变成美国作息老登了"
296979,23,m3pro是18G起步
232413,165,测试
296908,86,最近在单曲循环解解翻唱队长的《11》（看我昵称）
296979,19,应该是经销商可以远程激活，但是线下卖不出去所以挂网上卖，但是为了防止异地激活，所以先激活再发货
296979,5,这需求air都够了，pro带出去还沉
296573,4,"大概我从小喜欢侧着睡，这个长度弯弯腿/睡对角线也没大问题,lz 要是2m当我没说"
296573,2,"才发现我的床内长 195,一直以为是2m，还在纳闷怎么平躺正好上下都顶着"
9478,9414,"躺了一小时没睡着,已经在联楼坐下了"
9478,9388,"深夜emo时间,最近一个月一直都好烦好烦，全方面立体的烦,但感觉发出来都是会爆典的程度，还是就留下这一句吧"
155786,7193,"不带生存位被打爆了,不过上半第一次打4w分，黄泉嘎嘎开大"
294747,85,"第一次是掉水里了，音质有点问题，去genius bar检测了一下发现确实，遂换新,第二次是感觉走起路来有杂音，和第一次流程一样,不过不确定换新理由是ac还是airpods pro 1的召回计划"
294747,30,"只买了AirPods和Mac，Mac感觉就是纯碎屏险，上一台笔记本老是在奇奇怪怪的地方磕屏幕，买mac的时候果断加了ac,不过就买了一年期的，等过保了找地方加硬盘,AirPods的ac是真的值，音质电池都能免费换新"
294748,19,和我比，我只想躺平
294309,84,"感觉我父母也不是能接受的那种，不过我已经打算瞒到死了，反正家庭关系本来也不好，我能找一大堆借口堵他俩,巧了，我每次到甘露寺都跳过"
294309,72,这楼怎么变成强制爱方法探究了
294330,7,小算一手唯一性
294309,60,快进到神秘老中医偏方
294332,10,怎么看起来像水源的水印，切深色模式明显能看到
294309,52,"回学校之前刚被父母拷打过这个问题,只要不回家乡定居，他们又不能飞过来按着我生，催就催呗，反正最后急的不是我"
294285,10,"目前在用机柜插排+pvc理线槽，把线都走到桌子背面，正好有一根床架的铁杆可以放，桌面上的线全部从走线洞里穿出来，用魔术胶带就能粘牢,参考了b站上的桌面整理方案,btw关于插排大小，对我来说 8 孔插排正好够用：,床头灯&手机充电器,主机电源,显示器电源,显示器挂灯,Apple Watch 充电器,桌面 C140 PD 充电器,桌底侧面备用单孔小插排,打算在床底加一个顶灯，只用显示器挂灯桌面还是有点暗"
99139,767,"今天搞了一对新壁纸,锁屏是 iPhone 15 Pro Max 拆机效果图，主屏幕截了 A17 Pro 的 die shot,原图链接：,｜"
294219,12,巧了，我就是这条，从小新上拆下来，现在给Mac当时光机盘了
293009,226,简称上海斯通大学
293339,2,所以lz收了没
155786,7098,"不考虑歪才按每版本一个算，毕竟歪不歪都要下池子,btw2.0之后还没歪过，感觉接下来要一直歪了"
155786,7096,"源u有无抽卡建议,，长草期想稍微规划一下，0氪（最多大小月卡），假设每版本只抽一个,目前想抽的&理由：,花火补2命，目前 1+鸭专,黄泉0+1补2命 or 椒丘 （男角色只考虑强度）,现在生存位市场符玄，辅助在——1+1银狼、佩拉6+5决心、花火——中选,黑天鹅：主要是dot虚构太坐牢想改善下体验,灵砂：限五生存只有01符玄感觉有点压力 but 流萤带加拉赫还能爽所以不急着补,考虑XP的话，新女>补星魂>男的,云璃藿藿也想抽但是算算氵抽不出来了,box，没标武器的没练"
292529,47,选一个有1kw的交大研究生
292538,22,喜镜P
277845,6155,NSFW
292018,59,"有上进心,是码农,不地下恋（一块儿走路全程牵手）,有兴趣做共同活动,不胖,（你的体重比较松弛，但你的身高又弥补了这一部分）,在健身/有肌肉｜,刚开始跑步,不性冷淡,＜0.5,单身,看我成功开溜"
292018,31,"合理考古,然后发现去年就,过lz一次"
291486,55,"iCloud 6r/m,Apple music 6r/m,话费包年390，送一年哈啰,GPT Plus 不定期氪 20刀/m"
291097,601,这时间不会是拿下完回源u的吧
291097,549,早晚在水源上看到片
290727,49,亲自吃包，亲自点评，亲自评论
290950,2,顶一下
291020,33,"太对了,经常编理由骗经费，诸如报班学托福等等"
291020,21,我已经跟我爸和我舅学会了，躲不过就装孙子，还得是老玩家的经验丰富
291020,12,"中式恐核,（砸门）（大叫）我是你妈，凭什么不让我进，少了你吃还是少了你穿，费这么大劲供个白眼狼出来（摔盘子）"
291020,5,"在家就是装孙子,——一个马上忍不了要回学校躲清净的人如是说,最恶心的是我母亲还是一个初中班主任，老是拿她对付初中生的那套对付我，我只能拿对付老师的办法对付她,，真的感觉她是我中学老师而不是家长"
290950,1,"明天下午13:39到虹桥火车站，想打车回闵行校区，找拼车搭子,顺便问问源友虹桥站哪里打车方便，上次在地下停车场司机老是找不到位置"
290804,2,一眼余华老师
155786,7026,感觉换镜流还能凹
155786,7003,什么三月素裳
81132,5333,来点回旋镖
155786,6929,嘿，银枝，你动不动就宣传纯美的日子结束了，把孤云剑还给我
155786,6820,钟离的柱子友情客串
155786,6806,致敬传奇牢大
155786,6804,"华元帅在每日派遣里就埋彩蛋了，崩三符华仙人的同位体,所以什么时候端上来"
277845,4351,去哪都裁员
286606,10,"吸了21年二手烟的人路过,不在我面前抽烟是我现在社交底线之一"
284955,129,麦芒——畅享——鼎桥
155786,6653,符玄专武还是香的，尤其是大乐透炸了的时候
155786,6646,"卡下轴在召唤物行动之前黄泉秒掉,辅助打点给符玄开阵，银枝放大之前保证血线就安全,反正上半就打了1t下半慢慢打也没事"
284955,109,Windows Phone怎么你了
155786,6644,还得是符玄专武，市场被秒了好几把换专武一遍过
277845,3300,🎹流感
282799,166,水源提瓦特分源正式出道
282672,3,numpy
155786,6593,致敬传奇合成台
282138,2,"镁联社or星坐标,在镁联社烫过两次染过一次感觉还可以"
281893,62,"炒鸡、地锅鸡、黄焖鸡,这下暴露籍贯了,小学门口的炸鸡柳"
155786,6572,"丹朱也打赢复活赛了,什么时候把华元帅端上来"
280234,87,这就是你坚持蹲在椅子上的理由吗
280392,2,白雪公主.jpg
155786,6446,"凹过去了,感觉从上一期开始虚构开始上生存压力了，几个怪一炸全队红温"
155786,6445,"不歪传说倒下了,致敬传奇谐乐大典"
279060,12,穿SJTU 126，暗示本校捞捞
278963,31,玩撅区零
278726,10,来看
278562,22,"传奇连线王,不知道认识xx系列到什么程度算认识"
278318,9,盒到一些有趣的甲亢（对本人没看法，仅针对id）
276549,14,评价是不如网友整活
275661,113,"打原神,考完就知道自己大概考败来交了，再加上被父母push了三年，内心压根毫无波澜，查完接着打,查分的时候全家就我不急，当时内心：终于不用应付破羟基了"
155786,6327,"你过关！,最后一关打自己,萨姆,，一开始带加拉赫结果第一管血就挂了三个，秒退换符玄,感觉最后一关好打程度：,仨女铜>虫群>银枝>萨姆>浮烟>>砂金"
155786,6317,可我列车放的使一颗心免于哀伤
155786,6308,"一把天胡祝福，走到最后一关发现是砂金,一定是mhy干的"
275047,7,"脚大压根买不到鞋,，不可能三角：穿得下、好看、便宜,还记得小时候父母吵架，父亲说不要买太大的，稍微紧一紧限制一下，被母亲怼回去说那不就是穿小鞋"
266500,36,"上海体育场安检挺水的，相机放在包最下面就没管,pocket 肯定也能带进去"
262267,8024,笑点解析：反方向的妈
274546,18,有老八
155786,6085,"大家都去线下展了，只有我在宿舍刷了一下午模拟宇宙,现在一闭眼都是：,周而复始,…合演，开场,…好梦成真,…生命中的每一片花瓣,都有被风吹落,的那一天,…进攻，执行,…飞萤扑火,…一切,燃烧殆尽！,…点燃心海,…尽情享用吧,…还没结呢,…为生而战！,真有阿萨姆啊"
155786,6047,绷
155786,6045,会萤的！
155786,5993,"20抽拿下,总结"
85079,8654,真是崩坏4啊
273615,24,"国家级竞赛一个8学时,随便参加三四个比赛就够了，都不需要奖"
157979,102,不是，这也能卡绩？
273208,30,需要为反转指明方向
273331,2,"什么时代广场,快进到祝祂生日快乐"
273311,12,"提名C140,用了一年多了"
272410,21,他的手指到哪里，哪里的答案就泛滥成灾
269080,80,"是静安开业伴手礼，现在没有了,我也是后来闲鱼收的"
272240,21,不羞耻，但是容易吃不了
271655,147,控制中心传统派
262267,6392,nsfw
271655,132,"怎么我更完只有bug没有新功能,是不是打开方式不对"
271655,110,"全面visionOS化，好奇怪的圆角,总结,iOS键盘居然打不出来visionos,苹果是不是改壁纸位置了，我的topwidgts对不上了,感觉第一版bug好多，等更新吧"
271655,108,"更完了,ai功能貌似还没上线？"
271655,44,"怎么感觉拉了坨大的,库克今晚最好有one more thing"
271655,34,国行vp6.28上市
271655,31,怎么上来就环大陆
271655,29,要来力
155786,5798,四个悲伤的故事
271655,25,surface：你们当初可不是这么说的
271655,2,"提前cy,明天早十考试，看个开头就睡，起床直接看省流,希望GPT是软锁区"
155786,5770,"阮梅神力！,中间的怪加拉赫a大接强化a，旁边的两个饮月大招扩散实现三个破盾，然后饮月三个豆打掉半管血,火弱点打击破，评价是流萤的玩具"
262267,6048,笑点解析：配色
270979,8,既要解锁，还要接触，感觉是结合了nfc和扫码的缺点
270921,5,"零分！下一个！,负分！给我滚！"
228821,211,"现在用的罗技pebble按键不灵了，想趁着机会换个鼠标，求求源u有没有蓝牙鼠标推荐,预算：100上下,需求：,双模：需要2.4G连没有无线网卡的台式，需要蓝牙连MacBook（仅用支架&外接显示器时方便，平时主要用触控板）,续航长，用电池最好,充电希望能用C2C的线（平时只带一根线出门，最坏在外面没电可以及时充电）,延迟日常不易察觉就行，无fps需求,蓝牙与2.4G切换方便,大小稍大（手大，希望手感稍好一点）,耐造，不容易坏,如上,谢谢源u们"
270854,39,"想起前几天给我妈打电话的时候，她说她有个同事，每到假期就去她儿子学校附近租房不知道干嘛，刚听完我还觉得很逆天，突然想起来这位学弟是科大少年班的，突然释怀的笑了,最逆天的是我妈听说之后还觉得挺好的，表示想等我明年暑假毕业了来上海住一个月,我说你来的话我当天买票回家自己住豪斯"
125968,228,"游戏本,AI学习本"
155786,5748,"第二个打错了，应该是,FDU，赢！"
270682,5,居然能在家过十五
270621,26,"顶到热搜第二了,低价帮处理nvidia显卡，4090限时优惠只要50元"
270656,4,呆在书包上不下来，终将遭人遗弃！
270508,6,if楼
262267,5482,Maybe NSFW
269958,27,板砖
269640,55,"可能是没插紧，没插反就大力出奇迹！,我第一次插内存条的时候不敢使劲，总以为插反了"
262267,5390,nsfw
155786,5715,"米式再见大合集,再见，姬子老师,再见，爱莉希雅,再见，那维莱特,再见，卡卡瓦夏,再见，佩露薇利,再见了，须弥的子民们"
269640,5,记得撕散热保护膜
269521,6,这炙阳
269526,3,玩家是这样的，只要爆金币就好了，而库洛需要考虑的就多了
269253,2,位置
269253,1,"下错门店了,，有没有在剑川路附近的源u，送给有缘人了"
269187,39,感觉不如GPT老师和copilot老师
269195,52,"曾经,我茫然前行,黯夜的路上,微风,刺痛著灵魂,找不到应该的方向,生命这样的旅程,要用多少泪水来完整,是否我能期待遥远天际,一起飞翔,新造的人,我感谢天地,િ,ી,我感谢父母,િ,ી,我是罪人,િ,ી,我危害人间,િ,ી,我辜负苍生,િ,ી,我愿抛开一切,િ,消除名利权力,િ,舍弃金钱物质,િ,归于真我,િ"
269162,23,自从发现同款雪糕在这比老家贵了整整1.5¥就再也没买过
266509,584,"自适应,：刷nfc进出站，有没有网都一样,信号差感知最强的地方：,主图,：薛定谔的有网，有的时候很顺畅，有的时候微信都加载不出来,打开思源码的时候会卡一下,人流密集的地方基本等于原始人（举例：23年人节在电草摊位一点网都没有）"
269080,57,"15,电池大小的增量>功耗,参考极吧湾"
269080,54,"air 15' 应该是续航最长的mac了吧，低功耗大电池,从九点打开到现在用了15%"
269080,47,"当时考虑到有移动硬盘&台式就没想加，现在用的也还行，几乎不存任何本地文件，还剩一半的空间,不过确实会有存储焦虑，而且M2款256G硬盘有一个空焊位，只有半速，打算过保之后去加硬盘,支持，在Apple Store看完就选定了颜色,随手拍"
269080,31,"之前从ThinkBook 换成 MBA M2 15' 星光色强答一波,目前使用方式：,上网+日常低难度低性能工作（office之类）,Lightroom,简单代码，主要是大作业还有瞎搞，感觉简单玩玩完全不用考虑性能，兼容性才是关键,LaTeX，编译速度爆杀win,下面是个人感受,优点：, 全家桶1+1>2，icloud剪贴板、文件同步 & iPad当副屏是真的丝滑（甚至因此想换个13寸iPad，就是没钱换,）,充电方便：air70W PD，带一个PD充电头充所有设备；而且续航超长，不用担心全没电充不过来,轻：不用天天背三公斤砖头出门，日常背Mac+iPad+草稿纸+1-2本书；甚至可以帆布包装着去上课（只要小心别磕了）,类UNIX系统，不需要重学命令行,选15寸的原因：大屏，爽！,缺点：,老生常谈兼容性，所以宿舍配了台式，需要win环境的时候直接RDP，例如跑cuda/打游戏/MATLAB,金子内存｜解决方案：16+256，文件SMB台式/挂硬盘"
268771,35,"一眼以退为进，博取认同感，真这么认为还会发帖？,确诊为安陵容"
268771,30,"知道,现在正常,秒了,疯狂星期四！"
268771,13,两个都没有怎么办
267296,6951,"别人的水源就是好玩,晚上秋裤记得反穿"
155786,5691,"本来想抽两抽换点商店代币，结果我直接就是一个？,阿萤，学一学，抽不起了"
268306,30,金平路
155786,5682,"最后6k分实在凹不动了,每次dot天气都是恶心人"
267714,35,可能要看xj*
267651,21,"学习上海路名命名方式，建议设一条,金平路"
267631,8,腰间盘：到我战术突出的时候了
267464,8,"只能说在造型风格上有相似性，再辅以高考的语境,上一年大学再看都有不少人不再是这个风格,自信点，就是大专"
267426,5,但这里是水源，我只能说：就这？
267264,54,"我也没有太多闲鱼经历（主要还没到换机周期）,首先价格可以参考京东官方二手这些，闲鱼搜的话尽量写清楚配置，如,；选卖家主要是防二手贩子，尽量选主页成分比较复杂、什么都有的；这种三四年的产品有点瑕疵都是正常的，那些99新、未激活默认一眼假,苹果的产品注意要求卖家发货前,恢复出厂设置,，只在设置中退出账号没发关闭激活锁，必须完全还原，自己拿到后再激活才可以,收到货拍个开箱视频，注意检查序列号能不能对上，其它检查点可以参考回收平台或b站，有时间可以去Apple Store检测一下，一般走到这都不会有太大问题了"
267264,45,"我是NB该订阅制的时候，GN出了折扣的时候买的,，现在还可以同步，提示升级GoodNotes 6的时候一直不要点就行"
267264,30,"iPad Pro M1 加笔现在大概5k上下，能接受二手的话比新款值多了，就是miniLED续航不太给力,不过iPad笔记软件大都要氪金，像GoodNotes/Notability两大巨头现在都改订阅制了，以前买断的时候没买的话有点恶心人"
266877,98,早上没睡醒
267033,2,焦内如奶油般化开
139434,4,"好吧谢谢,我也是帮同学问的"
266657,11,让一让，山东人来了
139434,2,"一下,请问lz找到了嘛"
266501,25,"看多了,智选居然觉得这个标题还挺正常的"
266500,29,"解解开场前会说哪首有激光,看前几场基本都查相机了，到时候背个双层包塞最里面"
266500,22,"打算等16-18再换,，还不想为这些提升氪金,好像卡掉了，我得翻翻相册找找图"
266500,20,"主要是不确定 ProRes 效果到底怎么样,log应该不会开，回来就十六周了没时间调"
266500,18,"我在看台位置，估计会挡,而且邓紫棋最后有几首会站起来蹦迪，这样感觉还是手机方便"
266500,12,三丧和相机比差距怎么样啊，不明显的话打算凑合一下了
266500,6,"现在租还来得及嘛,，还要复习期末所以没太想折腾，正好朋友说可以借iPhone才看的"
266500,1,"lz周五要去看邓紫棋啦，不过现在在设备上出了点问题，所以来请教下万能的源u​,需求：拍照为主，几首特别喜欢的歌想录视频（总时长半小时左右）,目前方案：lz 的 Z30+50250套头,问题：,安检不让带：打算藏一下带进去，但再藏个三脚架感觉有点困难，所以引出第二个问题,没有防抖，也没有铁手，感觉最后会抖成渣,4k和60帧只能取其一（考虑发热问题打算拍1080p60）,收音选择：机内麦or iPhone 12 Pro Max （据说录音效果不错，不确定实际什么水平,）,昨天和好朋友聊到，他说可以借我一台 iPhone 15 Pro Max，lz对比了一下，觉得可以解决上述问题，而且能拍HDR，但仍然不确定一个最关键的点：,iPhone的成像质量真的配得上它的视频规格吗，或者和z30比如何,所以请问各位源u，有没有必要借iPhone；没必要的话，现在的方案有没有可以调整的地方呢"
266007,24,马院
155786,5649,521当天60抽出知更鸟，这下最爱的一集了
266325,3,道理我都懂，可我缺的钱这块谁给我补
265900,28,"跑个题，不是,高中的时候用家长淘汰的首发 iPhone 6S Plus，虽然有时候有小卡但总体一直都很流畅，一路升级到 iOS 13，一直用到了20年，不愧是曾经的钉子户,最后有次衣服兜大甩出去了，屏幕彻底碎了，考虑没有修的价值遂让它光荣牺牲"
265864,4,还以为是外星人打进来了
265564,212,"买三台nova11se换着用,地表最强手机，还是lz G点的华子"
265504,10,他会写燃吗
265419,15,"目前只对 Plus 用户开放,且只支持 macOS Sonoma + Apple Silicon"
265373,151,"每天25k还是太小看我的消费能力了,就算限定只给自己买一般商品的话，各种电子产品、相机、氪游戏，全都无脑满配就能写一个月不重样了,所以缺的资金这块谁给我补"
264769,167,冀以尘雾之微补益山海 ，萤烛末光增辉日月
264784,16,重生之一晚速通泛函
264695,5,你直接上去亲，他们受不了的
155786,5574,下半古希腊掌管控制的史
264656,57,有谁想看烟火了吗
264430,41,"整个宇宙,我都想让你拥有,以你为念的星宿,陪你到时间尽头,就跟我走,若世界狂如洪流,我陪你寻觅方舟,自由在夜的尽头"
264469,51,性经poor
263995,132,能能，十分英俊
155786,5533,"和蔼！任何倒狗终将绳之以法！,PS: 做完能拿到知更鸟两张唱片和一个成就，位置在老表广场右边"
155786,5507,爱你喵
155786,5480,mhy内斗实锤
155786,5456,开拓之路，在此开创！
155786,5422,"我们不会，止步于此！,剧透预警"
155786,5401,开幕雷击
263459,105,"坏了，居然兼容一代pencil,要是送一代，加钱上pro，相比去年算不算倒吸"
263459,99,"新iPad送旧笔多少有点抽象了，都不适配,应该有希望直接送新款"
263459,87,"这下没理由换了，还要再搭根笔,准备Air4用到报废了"
263459,80,"怎么感觉涨了好多,11英寸,13英寸,Pencil直接爆旧款金币,总结,旧款2代pencil貌似没有对新iPad支持（？）,总结"
263459,15,这下更容易弯了
260220,6,"顶一下,好像有绝区零？"
262914,16,兑点雌二醇
262804,8,"第一眼：中国的金星,第二眼：金星变朝鲜人了？,第三眼：朝鲜登陆金星了？"
262267,482,最新诡异bug
262478,10,啃一口 MacBook 吧 
262479,8,一直在用 MacTeX + TeXstudio，自己配的快捷键习惯了改不过来，可惜没有 Copilot
262267,244,椅子：在想我的事？
155786,5329,"版本收官，黄泉0+1镜流补1+1没坠机,下版本全面备战流萤"
262267,24,昨天在思源湖边捡的
262267,18,开投！
